NUMERO_INCIDENTE;CODIGO_CRIME;CODIGO_GRUPO_CRIME;DESCRICAO_CRIME;DISTRITO;AREA_REPORTADA;TEVE_TIRO;DATA_OCORRENCIA;ANO;MES;DIA_DA_SEMANA;HORA;ALTO_RISCO
I182070933;724;Auto Theft;AUTO THEFT;B2;330;0;03/09/18 21:25;2018;9;Monday;21;0
I182070932;3301;Verbal Disputes;VERBAL DISPUTE;B2;584;0;03/09/18 20:39;2018;9;Monday;20;0
I182070917;2647;Other;THREATS TO DO BODILY HARM;B2;901;0;03/09/18 19:52;2018;9;Monday;19;0
I182070915;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;181;0;02/09/18 18:00;2018;9;Sunday;18;0
I182070908;522;Residential Burglary;BURGLARY - RESIDENTIAL - NO FORCE;B2;911;0;03/09/18 18:38;2018;9;Monday;18;0
I182070897;2662;Ballistics;BALLISTICS EVIDENCE/FOUND;B2;330;0;03/09/18 18:37;2018;9;Monday;18;1
I182070892;613;Larceny;LARCENY SHOPLIFTING;B2;276;0;03/09/18 17:54;2018;9;Monday;17;0
I182070882;3801;Motor Vehicle Accident Response;M/V ACCIDENT - OTHER;B2;901;0;03/09/18 15:00;2018;9;Monday;15;0
I182070873;3625;Other;DANGEROUS OR HAZARDOUS CONDITION;B2;327;0;03/09/18 15:38;2018;9;Monday;15;0
I182070873;3106;Property Related Damage;PROPERTY - ACCIDENTAL DAMAGE;B2;327;0;03/09/18 15:38;2018;9;Monday;15;0
I182070871;3501;Missing Person Reported;MISSING PERSON;B2;265;0;03/09/18 17:03;2018;9;Monday;17;0
I182070862;3801;Motor Vehicle Accident Response;M/V ACCIDENT - OTHER;B2;603;0;03/09/18 15:29;2018;9;Monday;15;0
I182070859;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;305;0;03/09/18 15:46;2018;9;Monday;15;0
I182070855;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;288;0;03/09/18 15:14;2018;9;Monday;15;0
I182070830;2647;Other;THREATS TO DO BODILY HARM;B2;294;0;03/09/18 13:25;2018;9;Monday;13;0
I182070829;1810;Drug Violation;DRUGS - SALE / MANUFACTURING;B2;325;0;03/09/18 13:45;2018;9;Monday;13;0
I182070829;1842;Drug Violation;DRUGS - POSS CLASS A - HEROIN ETC. ;B2;325;0;03/09/18 13:45;2018;9;Monday;13;0
I182070824;3114;Investigate Property;INVESTIGATE PROPERTY;B2;237;0;03/09/18 13:31;2018;9;Monday;13;0
I182070823;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;330;0;03/09/18 14:00;2018;9;Monday;14;0
I182070809;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;605;0;03/09/18 12:37;2018;9;Monday;12;0
I182070808;3205;License Plate Related Incidents;M/V PLATES - LOST;B2;297;0;03/09/18 09:40;2018;9;Monday;9;0
I182070801;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;326;0;02/09/18 19:30;2018;9;Sunday;19;0
I182070800;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;325;0;03/09/18 11:14;2018;9;Monday;11;0
I182070791;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;325;0;03/09/18 11:14;2018;9;Monday;11;0
I182070788;3114;Investigate Property;INVESTIGATE PROPERTY;B2;305;0;02/09/18 21:30;2018;9;Sunday;21;0
I182070784;3301;Verbal Disputes;VERBAL DISPUTE;B2;909;0;03/09/18 10:42;2018;9;Monday;10;0
I182070783;3207;Property Found;PROPERTY - FOUND;B2;289;0;03/09/18 10:46;2018;9;Monday;10;0
I182070779;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;600;0;03/09/18 10:00;2018;9;Monday;10;1
I182070779;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;600;0;03/09/18 10:00;2018;9;Monday;10;0
I182070779;2405;Disorderly Conduct;DISORDERLY CONDUCT;B2;600;0;03/09/18 10:00;2018;9;Monday;10;0
I182070779;2610;Other;TRESPASSING;B2;600;0;03/09/18 10:00;2018;9;Monday;10;0
I182070778;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;904;0;03/09/18 09:51;2018;9;Monday;9;0
I182070770;3201;Property Lost;PROPERTY - LOST;B2;265;0;03/09/18 01:00;2018;9;Monday;1;0
I182070764;3115;Investigate Person;INVESTIGATE PERSON;B2;909;0;03/09/18 08:12;2018;9;Monday;8;0
I182070760;3301;Verbal Disputes;VERBAL DISPUTE;B2;263;0;03/09/18 07:50;2018;9;Monday;7;0
I182070726;3301;Verbal Disputes;VERBAL DISPUTE;B2;265;0;03/09/18 01:40;2018;9;Monday;1;0
I182070722;3002;Medical Assistance;ANIMAL CONTROL - DOG BITES - ETC.;B2;276;0;03/09/18 01:37;2018;9;Monday;1;0
I182070686;3301;Verbal Disputes;VERBAL DISPUTE;B2;586;0;02/09/18 22:02;2018;9;Sunday;22;0
I182070681;3115;Investigate Person;INVESTIGATE PERSON;B2;304;0;02/09/18 22:17;2018;9;Sunday;22;0
I182070668;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;291;0;02/09/18 21:12;2018;9;Sunday;21;1
I182070668;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;291;0;02/09/18 21:12;2018;9;Sunday;21;1
I182070657;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;311;0;02/09/18 20:32;2018;9;Sunday;20;0
I182070641;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;319;0;02/09/18 19:45;2018;9;Sunday;19;0
I182070634;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;266;0;31/08/18 20:00;2018;8;Friday;20;0
I182070629;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;315;0;02/09/18 19:03;2018;9;Sunday;19;0
I182070625;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;268;0;02/09/18 18:58;2018;9;Sunday;18;0
I182070625;1402;Vandalism;VANDALISM;B2;268;0;02/09/18 18:58;2018;9;Sunday;18;0
I182070614;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;180;0;02/09/18 17:35;2018;9;Sunday;17;0
I182070613;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;297;0;02/09/18 18:33;2018;9;Sunday;18;0
I182070600;3114;Investigate Property;INVESTIGATE PROPERTY;B2;319;0;02/09/18 16:45;2018;9;Sunday;16;0
I182070597;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;282;0;02/09/18 17:30;2018;9;Sunday;17;0
I182070585;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;318;0;02/09/18 16:43;2018;9;Sunday;16;0
I182070584;3201;Property Lost;PROPERTY - LOST;B2;329;0;02/09/18 00:00;2018;9;Sunday;0;0
I182070571;520;Residential Burglary;BURGLARY - RESIDENTIAL - FORCE;B2;317;0;02/09/18 14:39;2018;9;Sunday;14;0
I182070558;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;281;0;02/09/18 13:32;2018;9;Sunday;13;0
I182070552;1402;Vandalism;VANDALISM;B2;318;0;01/09/18 23:00;2018;9;Saturday;23;0
I182070549;301;Robbery;ROBBERY - STREET;B2;282;0;02/09/18 07:00;2018;9;Sunday;7;1
I182070549;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;282;0;02/09/18 07:00;2018;9;Sunday;7;1
I182070540;2646;Liquor Violation;LIQUOR - DRINKING IN PUBLIC;B2;288;0;02/09/18 13:01;2018;9;Sunday;13;0
I182070527;3301;Verbal Disputes;VERBAL DISPUTE;B2;326;0;02/09/18 11:31;2018;9;Sunday;11;0
I182070524;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;276;0;02/09/18 02:00;2018;9;Sunday;2;0
I182070513;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;605;0;31/08/18 22:00;2018;8;Friday;22;0
I182070501;361;Robbery;ROBBERY - OTHER;B2;177;0;01/09/18 19:00;2018;9;Saturday;19;1
I182070496;619;Larceny;LARCENY ALL OTHERS;B2;318;0;02/09/18 00:00;2018;9;Sunday;0;0
I182070496;1402;Vandalism;VANDALISM;B2;318;0;02/09/18 00:00;2018;9;Sunday;0;0
I182070474;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;321;0;02/09/18 02:52;2018;9;Sunday;2;0
I182070461;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;263;0;02/09/18 00:46;2018;9;Sunday;0;0
I182070417;1402;Vandalism;VANDALISM;B2;182;0;01/09/18 18:15;2018;9;Saturday;18;0
I182070392;2629;Harassment;HARASSMENT;B2;239;0;01/09/18 18:46;2018;9;Saturday;18;0
I182070392;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;239;0;01/09/18 18:46;2018;9;Saturday;18;0
